URL,shanghai,usnews2016,qsworld2015
www.ucla.edu,9,13,17
www.uclouvai...,,,151-200
www.ucm.es,,,151-200
www.ucr.edu,,56,301-400
www.ucsb.edu,51-75 ,34,151-200
www.ucsc.edu,,56,251-300
www.uct.ac.za,,,301-400
www.udel.edu,101-150,70,
www.ufl.edu,76-100 ,48,301-400
www.ufmg.br,,,151-200
www.ufpe.br,,,201-250
www.ufrgs.br,,,201-250
www.ufrj.br,,,151-200
www.uga.edu,,90,
www.ugent.be,76-100 ,,251-300
www.ugr.es,43,,201-250
www.uh.edu,51-75 ,101,
www.uibk.ac.at,,,301-400
www.uib.no,151-200,,201-250
www.uic.edu,101-150,60,201-250
www.uio.no,76-100 ,,101-150
www.uiowa.edu,151-200,63,
www.uitm.edu.my,,,301-400
www.ujaen.es,76-100 ,,
www.ujf-grenoble.fr,,,301-400
www.ukm.my,,,251-300
www.uky.edu,,90,
www.ulb.ac.be,,,201-250
www.ul.ie,,,251-300
www.ulisboa.pt,151-200,,
www.umass.edu,51-75 ,25,51-100
www.umbc.edu,,70,
www.umd.edu,17,15,51-100
www.um.edu.my,,,101-150
www.umontreal.ca,76-100 ,,101-150
www.una...,,,101-150
www.uncc.edu,,101,
www.unc.edu,31,25,101-150
www.unibas.ch,,,301-400
www.unibe.ch,,,301-400
www.unibo.it,,,51-100
www.uni-bonn.de,,,201-250
www.unicamp.br,101-150,,51-100
www.uni-due.de,,,301-400
www.unifi.it,,,301-400
www.uni-frankfurt.de,,,301-400
www.uni-freiburg.de,,,201-250
www.unige.ch,,,201-250
www.uni-goettingen.de,,,301-400
www.uni-hamburg.de,,,301-400
www.uni-hannover.de,,,301-400
www.uni-heidelberg.de,,,101-150
www.uni-kiel.de,,,301-400
www.uni-konstanz.de,,,301-400
www.uni-leipzig.de,,,251-300
www.unimelb.edu.au,101-150,,13
www.unimib.it,,,301-400
www.unimi.it,,,151-200
www.uni-muenster.de,,,301-400
www.unipd.it,,,251-300
www.unipi.it,,,51-100
www.uniroma1.it,101-150,,51-100
www.uniroma2.it,,,251-300
www.uni-saarland.de,,,101-150
www.unisa.edu.au,,,151-200
www.unistra.fr,,,301-400
www.uni-stuttgart.de,101-150,,151-200
www.unitn.it,151-200,,201-250
www.uni-tuebingen.de,,,251-300
www.univie.ac.at,,,151-200
www.univ-lille1.fr,,,301-400
www.univ-paris1.fr,,,301-400
www.univ-paris-diderot.fr,,,301-400
www.univ-tlse3.fr,,,301-400
www.unizar.es,151-200,,
www.unl.edu,76-100 ,70,
www.unm.edu,,82,301-400
www.unsw.edu.au,101-150,,35
www.uottawa.ca,,,301-400
www.uow.edu.au,,,201-250
www.upc.edu,101-150,,51-100
www.upenn.edu,76-100 ,19,41
www.upf.edu,151-200,,
www.upmc.fr,151-200,,101-150
www.upm.edu.my,,,151-200
www.upm.es,101-150,,151-200
www.up.pt,,,201-250
www.u-psud.fr,151-200,,301-400
www.upv.es,151-200,,251-300
www.uq.edu.au,151-200,,49
www.uquebec.ca,,,251-300
www.urv.cat,151-200,,
www.usc.edu,11,20,51-100
www.usf.edu,151-200,101,
www.usi.ch,,,301-400
www.usm.my,,,101-150
www.usp.br,101-150,,51-100
www.ust.hk,32,,8
www.ut.ac.ir,151-200,,
www.uta.edu,,90,
www.utah.edu,51-75 ,40,251-300
www.utdallas.edu,151-200,70,301-400
www.utexas.edu,6,9,22
www.utk.edu,101-150,70,301-400
www.utm.my,,,151-200
www.u-tokyo.ac.jp,76-100 ,,18
www.utp.edu.my,,,301-400
www.uts.edu.au,101-150,,101-150
www.utwente.nl,151-200,,201-250
www.uu.nl,101-150,,101-150
www.uu.se,,,101-150
www.uva.nl,76-100 ,,51-100
www.uvic.ca,,,301-400
www.uwa.edu.au,,,201-250
www.uzh.ch,,,101-150
www.vanderbilt.edu,101-150,56,251-300
www.victoria.ac.nz,,,101-150
www.virginia.edu,101-150,29,201-250
www.vt.edu,101-150,40,201-250
www.vub.ac.be,,,251-300
www.vu.edu.au,,,301-400
www.vu.nl,101-150,,101-150
www.vutbr.cz,,,301-400
www.waikato.ac.nz,,,151-200
www.waseda.jp,,,151-200
www.washington.edu,46,6,20
www.weizmann.ac.il,51-75 ,,151-200
www.wisc.edu,51-75 ,11,51-100
www.wm.edu,,70,
www.wpi.edu,,90,301-400
www.wu.ac.at,,,301-400
www.wvu.edu,,112,
www.xjtu.edu.cn,51-75 ,,201-250
www.yale.edu,51-75 ,20,34
www.yonsei.ac.kr,151-200,,101-150
www.york.ac.uk,,,101-150
www.zju.edu.cn,47,,101-150
